id,movies_name,year,timing_min,rating_10,votes,genre,language
tt4954470,Krishna Arjun,2004,,6.27478459199189,42.0,action,hindi
tt0152133,Rahi,1953,,6.9,27.0,drama,hindi
tt0436165,Chaukat Raja,1991,,7.4,214.0,family,marathi
tt13730178,School Master,2010,,6.27478459199189,42.0,drama,kannada
tt4920116,Halla Gulla,2015,,5.2,77.0,"action, comedy",urdu
tt1954666,Monopoly the Game of Money,2012,,6.27478459199189,42.0,thriller,hindi
tt0246053,Maga Maharaju,1983,,6.8,30.0,"comedy, drama, romance",telugu
tt12976166,Band Baaja Babuchak,2017,,6.27478459199189,42.0,comedy,gujarati
tt0355250,Bebbuli Veta,1985,,6.27478459199189,42.0,drama,telugu
tt3439838,Gita,2008,,6.27478459199189,42.0,drama,telugu
tt0273321,Kusruthi Kuruppu,1998,,5.8,40.0,"comedy, drama",malayalam
tt0329393,Mr. and Mrs. Iyer,2002,,7.9,4681.0,drama,tamil
tt6868074, Siyaasat,,,6.27478459199189,42.0,history,urdu
tt0311337,Inth Ka Jawab Patthar,2002,,3.2,9.0,"musical, action",hindi
tt0151765,Nisithe,1963,,7.2,10.0,drama,bengali
tt12121480,Cabbie,2019,,6.27478459199189,42.0,"short, horror",nepali
tt0254936,Advaitham,1991,,7.0,275.0,"action, crime, drama",malayalam
tt0317900,Maruppacha,1982,,6.27478459199189,42.0,drama,malayalam
tt0454491,Kachehari,1994,,6.4,14.0,action,punjabi
tt0455261,Kismet Road,,,6.27478459199189,42.0,drama,urdu
tt2543854,Fever,2009,,8.5,8.0,"short, fantasy",nepali
tt7586994,Kaashi Amarnath,2017,,4.7,11.0,"action, drama, romance",bhojpuri
tt0429541,Afsana Dilwalon Ka,2001,,3.6,1024.0,"drama, romance",urdu
tt14434198,Namukkore Aakasham,2015,,6.27478459199189,42.0,drama,malayalam
tt8806546,Argentina Fans Kaattoorkadavu,2019,,4.7,319.0,"drama, sport",malayalam
tt3848938,Mr. X,2015,,3.8,1816.0,"action, drama, sci-fi",hindi
tt0482805,Nakhuda,1968,,6.27478459199189,42.0,drama,urdu
tt0268520,Pakhandi,1984,,6.5,26.0,drama,hindi
tt0325620,Ini Ethra Sandhyakal,1979,,6.27478459199189,42.0,drama,malayalam
tt2498312,Bachchan,2013,,6.6,926.0,"action, crime, thriller",kannada
tt3877652,Desi Kattey,2014,,4.0,125.0,action,hindi
tt0329724,Vaddante Dabbu,1954,,6.6,10.0,"comedy, drama",telugu
tt4952766,Nooran,1957,,6.27478459199189,42.0,romance,punjabi
tt0374069,Murderer,1935,,6.27478459199189,42.0,drama,hindi
tt6853994,Tharangam,2017,,6.3,478.0,"action, comedy",malayalam
tt14191284,Zunjar,2003,,6.27478459199189,42.0,drama,marathi
tt2929820,Pyase Nain,1989,,6.27478459199189,42.0,drama,hindi
tt2714450,Anokha Chamatkar,1988,,6.27478459199189,42.0,drama,hindi
tt8178538,Vasudhaika 1957,2016,,6.27478459199189,42.0,horror,telugu
tt0414156,Insaan Aur Shaitan,1970,,5.1,14.0,action,hindi
tt9729774,Sapthagiri LLB,2017,,7.2,56.0,"comedy, drama",telugu
tt5242076,Prem Vidrohi,2012,,6.27478459199189,42.0,action,bhojpuri
tt5948916,Manamantha,2016,,7.7,840.0,drama,telugu
tt2549618,August 2,2012,,4.2,9.0,thriller,hindi
tt6444022,Ponge Ezhu Manohara,2015,,6.27478459199189,42.0,"comedy, drama",tamil
tt3411076,1:13:7 Ek Tera Saath,2016,,5.7,57.0,horror,hindi
tt4604852,Diyar Bhojai,1980,,6.27478459199189,42.0,romance,gujarati
tt3949344,Sair-E-Paristan,1958,,6.27478459199189,42.0,fantasy,hindi
tt1757789,Lalkare Sheran De,1994,,6.27478459199189,42.0,action,punjabi
tt4651494,Azad Champion,1968,,6.27478459199189,42.0,action,hindi
tt1475422,Thazampoo,1965,,6.8,6.0,drama,tamil
tt0249571,Haseena 420,1988,,6.2,5.0,drama,urdu
tt11286160,Record,2019,,6.27478459199189,42.0,horror,urdu
tt1310391,Raogari Illu,1988,,6.27478459199189,42.0,"comedy, drama",telugu
tt4597882,Proud to Be a Sikh,2014,,7.2,20.0,drama,punjabi
tt1102297,Paranju Theeratha Visheshangal,2007,,6.3,6.0,drama,malayalam
tt6957140,Banna Bannada Baduku,2017,,6.27478459199189,42.0,drama,kannada
tt9081472,Aickarakkonathe Bhishaguaranmaar,2018,,7.8,239.0,drama,malayalam
tt0252636,Laxmi,1957,,6.27478459199189,42.0,"drama, family",hindi
tt8793888,Patukunte Padivelu,1967,,6.27478459199189,42.0,drama,telugu
tt4614164,Radha Ghelo Kan,1991,,6.27478459199189,42.0,drama,gujarati
tt1569529,"U, Bomsi N Me",2005,,7.4,13.0,comedy,hindi
tt10895802,Les Larmes Noires,2015,,6.27478459199189,42.0,documentary,urdu
tt0247946,Baeelveda,1979,,6.27478459199189,42.0,drama,marathi
tt10852008,Balakot: the true story,2020,,6.27478459199189,42.0,action,hindi
tt5426752,Maan Marjada,1991,,6.27478459199189,42.0,drama,bengali
tt0242519,Hera Pheri,2000,,8.2,58037.0,"action, comedy, crime",hindi
tt0323755,Raagangal Maruvathillai,1983,,7.2,5.0,drama,tamil
tt7162396,Putra Badhu,1998,,6.27478459199189,42.0,drama,bengali
